Frame ID,Message Name,Property,Rx Value,Tx Value,Rx DBC,Tx DBC
0x23,dfsfds,length,3,--,cgw3.dbc,--
0x23,dfsfds,is_extended_frame,False,--,cgw3.dbc,--
0x23,dfsfds,is_fd,False,--,cgw3.dbc,--
0x23,dfsfds,cycle_time,1000,--,cgw3.dbc,--
0x23,dfsfds,send_type,NotUsed,--,cgw3.dbc,--
0x23,dfsfds.ewewew,signal.start,0,--,cgw3.dbc,--
0x23,dfsfds.ewewew,signal.length,8,--,cgw3.dbc,--
0x23,dfsfds.ewewew,signal.byte_order,little_endian,--,cgw3.dbc,--
0x23,dfsfds.ewewew,signal.is_signed,False,--,cgw3.dbc,--
0x23,dfsfds.ewewew,signal.scale,1.0,--,cgw3.dbc,--
0x23,dfsfds.ewewew,signal.offset,0.0,--,cgw3.dbc,--
0x23,dfsfds.ewewew,signal.minimum,0.0,--,cgw3.dbc,--
0x23,dfsfds.ewewew,signal.maximum,255.0,--,cgw3.dbc,--
0x23,dfsfds.ewewew,signal.unit,None,--,cgw3.dbc,--
0x23,eefg,length,7,--,CGW1.dbc,--
0x23,eefg,is_extended_frame,False,--,CGW1.dbc,--
0x23,eefg,is_fd,False,--,CGW1.dbc,--
0x23,eefg,cycle_time,1000,--,CGW1.dbc,--
0x23,eefg,send_type,NotUsed,--,CGW1.dbc,--
0x23,eefg.rewewr,signal.start,0,--,CGW1.dbc,--
0x23,eefg.rewewr,signal.length,8,--,CGW1.dbc,--
0x23,eefg.rewewr,signal.byte_order,little_endian,--,CGW1.dbc,--
0x23,eefg.rewewr,signal.is_signed,False,--,CGW1.dbc,--
0x23,eefg.rewewr,signal.scale,1.0,--,CGW1.dbc,--
0x23,eefg.rewewr,signal.offset,0.0,--,CGW1.dbc,--
0x23,eefg.rewewr,signal.minimum,0.0,--,CGW1.dbc,--
0x23,eefg.rewewr,signal.maximum,255.0,--,CGW1.dbc,--
0x23,eefg.rewewr,signal.unit,None,--,CGW1.dbc,--
0x33,ER1,length,6,6,CGW1.dbc,cgw2.dbc
0x33,ER1,is_extended_frame,False,False,CGW1.dbc,cgw2.dbc
0x33,ER1,is_fd,False,False,CGW1.dbc,cgw2.dbc
0x33,ER1,cycle_time,1000,1000,CGW1.dbc,cgw2.dbc
0x33,ER1,send_type,NotUsed,NotUsed,CGW1.dbc,cgw2.dbc
0x33,er1,length,--,3,--,cgw3.dbc
0x33,er1,is_extended_frame,--,False,--,cgw3.dbc
0x33,er1,is_fd,--,False,--,cgw3.dbc
0x33,er1,cycle_time,--,1000,--,cgw3.dbc
0x33,er1,send_type,--,NotUsed,--,cgw3.dbc
0x33,er1.sda,signal.start,--,0,--,cgw3.dbc
0x33,er1.sda,signal.length,--,8,--,cgw3.dbc
0x33,er1.sda,signal.byte_order,--,little_endian,--,cgw3.dbc
0x33,er1.sda,signal.is_signed,--,False,--,cgw3.dbc
0x33,er1.sda,signal.scale,--,1.0,--,cgw3.dbc
0x33,er1.sda,signal.offset,--,0.0,--,cgw3.dbc
0x33,er1.sda,signal.minimum,--,0.0,--,cgw3.dbc
0x33,er1.sda,signal.maximum,--,255.0,--,cgw3.dbc
0x33,er1.sda,signal.unit,--,None,--,cgw3.dbc
